topics, course_name
mathematics, calculus
mathematics, linear_algebra
mathematics, probability_statistics
applied_mathematics, physics
applied_mathematics, chemistry
programming, computer_science_fundamentals
robots, automatics_fundamentals
economy, applied_economics
economy, business_management
economy, operations_research
economy, technology_processes
economy, industrial_plants
circuits, electrical_engineering
data, data_management
networks, telecommunications
cpu, computer_architecture
ai, artificial_intelligence_foundations
artificial intelligence, artificial_intelligence_foundations
cybersecurity, computer_security
cybersecurity, computer_security
hackers, computer_security
windows, operating_systems
linux, operating_systems
web, web_technologies
internet, web_technologies
internet, telecommunications
ai, machine_learning
robots, robotics_1
robots, robotics_2
robotics, robotics_1
robotics, robotics_2
ai, computer_vision
robots, robot_programming
robots, mobile_robotics
robotics, robot_programming
robotics, mobile_robotics
ai, neural_networks
ai, natural_language_processing
robots, medical_robotics
robotics, medical_robotics
ai, reinforcement_learning
robots, probabilistic_robotics
robotics, probabilistic_robotics
robots, nonlinear_systems_and_control
robots, optimal_control
robots, filtering
cars, vehicle_system_dynamics
drones, vehicle_system_dynamics
automatics, nonlinear_systems_and_control
automatics, optimal_control
automatics, filtering
automatics, multivariable_feedback_control
automatics, digital_control_systems
automatics, process_automation
automatics, robust_control
automatics, control_of_communication_and_energy_networks
data, data_mining
data, data_management
data, statistical_learning
data, signal_processing
data, optimization
ai, machine_learning
cloud, cloud_computing
nlp, natural_language_processing
data, applied_economics
privacy, data_privacy
big data, data_privacy
distributed systems, distributed_systems
cybersecurity, cybersecurity
cybersecurity, distributed_systems
programming, advanced_programming
cybersecurity, malware_analysis
